subject,session,task,run,file_path,channel_name,channel_type,is_meg,is_lfp_stn,lfp_label,lfp_side,lfp_contact_index,is_bad,sampling_rate_hz
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0543,grad,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0541,mag,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0613,grad,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0612,grad,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0611,mag,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0622,grad,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0623,grad,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0621,mag,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0633,grad,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0632,grad,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0631,mag,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0642,grad,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0643,grad,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0641,mag,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0713,grad,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0712,grad,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0711,mag,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0723,grad,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0722,grad,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0721,mag,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0733,grad,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0732,grad,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0731,mag,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0743,grad,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0742,grad,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0741,mag,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0813,grad,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0812,grad,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0811,mag,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0822,grad,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0823,grad,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0821,mag,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0913,grad,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0912,grad,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0911,mag,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0923,grad,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0922,grad,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0921,mag,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0932,grad,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0933,grad,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0931,mag,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0942,grad,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0943,grad,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG0941,mag,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG1013,grad,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG1012,grad,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG1011,mag,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG1023,grad,True,False,,,,False,2000.0
sub-0cGdk9,ses-PeriOp,HoldL,1,data/raw/ds004998/sub-0cGdk9/ses-PeriOp/meg/sub-0cGdk9_ses-PeriOp_task-HoldL_acq-MedOff_run-1_meg.fif,MEG1022,grad,True,False,,,,False,2000.0
